"","ID","Date","Phosphorus","Nitrogen","Chlorophyll","Secchi","Color","Temperature","Conductivity","Site","Sensor_Type","Salinity","Sun_Code","DO","Depth"
"188",189,2018-08-20 16:17:00,NA,NA,NA,NA,NA,32.9,26.83,3,"YSI",14,NA,5,1
"189",190,2018-08-20 17:35:00,NA,NA,NA,NA,NA,33.1,21.27,9,"YSI",11,NA,7,1
"190",191,2018-08-20 18:00:00,NA,NA,NA,NA,NA,33.1,10.76,8,"YSI",5,NA,10,1
"191",192,2018-08-20 18:20:00,NA,NA,NA,NA,NA,31.7,3.91,7,"YSI",2,NA,9,1
"192",193,2018-07-24 15:21:00,NA,NA,NA,NA,NA,27.6,1.6,6,"YSI",1,NA,9,1
"193",194,2018-07-24 15:43:00,NA,NA,NA,NA,NA,28.4,7.2,5,"YSI",4,NA,12,1
"194",195,2018-07-24 16:02:00,NA,NA,NA,NA,NA,29,11.7,4,"YSI",6,NA,14,1
"195",196,2018-07-24 16:29:00,NA,NA,NA,NA,NA,28.8,12.51,3,"YSI",7,NA,14,1
"196",197,2018-07-24 16:46:00,NA,NA,NA,NA,NA,29.1,10.73,9,"YSI",6,NA,11,0
"197",198,2018-07-24 17:06:00,NA,NA,NA,NA,NA,30,3.28,8,"YSI",2,NA,10,1
"198",199,2018-07-24 17:22:00,NA,NA,NA,NA,NA,29.2,0.977,7,"YSI",0,NA,10,1
"199",200,2018-09-05 15:29:00,NA,NA,NA,NA,NA,29.8,1.1,1,"YSI",1,NA,9,1
"200",201,2018-09-05 16:03:00,NA,NA,NA,NA,NA,29.2,0.929,6,"YSI",0,NA,9,1
"201",202,2018-09-05 16:30:00,NA,NA,NA,NA,NA,32.5,10.1,5,"YSI",5,NA,9,1
"202",203,2018-09-05 16:50:00,NA,NA,NA,NA,NA,32.7,27.87,4,"YSI",15,NA,7,1
"203",204,2018-09-05 17:17:00,NA,NA,NA,NA,NA,32.9,26.83,3,"YSI",14,NA,5,1
"204",205,2018-09-05 17:35:00,NA,NA,NA,NA,NA,33.1,21.27,9,"YSI",11,NA,7,1
"205",206,2018-09-05 18:00:00,NA,NA,NA,NA,NA,33.1,10.76,8,"YSI",5,NA,10,1
"206",207,2018-09-05 18:20:00,NA,NA,NA,NA,NA,31.7,3.91,7,"YSI",2,NA,8,1
"207",208,2018-09-21 16:49:00,NA,NA,NA,NA,NA,29.6,16.7,6,"YSI",9,NA,9,1
"208",209,2018-09-21 17:10:00,NA,NA,NA,NA,NA,29.1,11.72,1,"YSI",6,NA,9,1
"209",210,2018-09-21 17:36:00,NA,NA,NA,NA,NA,31.1,32.34,5,"YSI",18,NA,7,1
"210",211,2018-09-21 17:51:00,NA,NA,NA,NA,NA,31.3,38,4,"YSI",21,NA,11,1
"211",212,2018-09-21 18:14:00,NA,NA,NA,NA,NA,31.2,40.55,3,"YSI",23,NA,11,1
"212",213,2018-09-21 18:29:00,NA,NA,NA,NA,NA,31.7,33.72,9,"YSI",18,NA,15,1
"213",214,2018-09-21 18:47:00,NA,NA,NA,NA,NA,31.6,32.86,2,"YSI",18,NA,2,1
"214",215,2018-09-21 19:04:00,NA,NA,NA,NA,NA,31.4,26.72,8,"YSI",14,NA,4,1
"215",216,2018-09-21 19:28:00,NA,NA,NA,NA,NA,30.2,10.72,7,"YSI",5,NA,8,1
